feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko00785	Group	WT	0.00104670504856475	0.000120808206649981	12	12	5.81710122509458e-06	0.00151244631852459
ko00195	Group	WT	0.00501473493468366	0.0006855688269853	12	12	2.55689456230301e-05	0.00221597528732928
ko00196	Group	WT	0.00941744841514096	0.00126923911380037	12	12	2.26274108306786e-05	0.00221597528732928
ko03008	Group	WT	0.000687553247001659	0.000102826852934309	12	12	5.45529025643283e-05	0.00354593866668134
ko04614	Group	WT	-0.00145453247579364	0.000263473624224996	12	12	0.000254340159845966	0.0110214069266585
ko00550	Group	WT	0.0011387120264188	0.000203083952031894	12	12	0.000225455547765684	0.0110214069266585
ko04330	Group	WT	0.000235901538333615	4.66501611904024e-05	12	12	0.000494278475486644	0.0142791559585031
ko04930	Group	WT	0.000455855472603481	8.89077226369323e-05	12	12	0.000445932268399262	0.0142791559585031
ko04310	Group	WT	0.000235901538333615	4.66501611904024e-05	12	12	0.000494278475486644	0.0142791559585031
ko05220	Group	WT	0.000217063739067191	4.55613338124572e-05	12	12	0.000763684646483788	0.0198558008085785
ko00190	Group	WT	0.00134117244624977	0.000289959118232343	12	12	0.000942797298067925	0.0222842997725146
ko00130	Group	WT	0.000875402962222771	0.000197121827912781	12	12	0.00125268178023547	0.0271414385717684
ko05215	Group	WT	0.000481455147880171	0.000112143872852604	12	12	0.00157825853786608	0.0271575129679675
ko04914	Group	WT	0.000484693344992179	0.000112477668542208	12	12	0.00153891484043919	0.0271575129679675
ko00710	Group	WT	0.00087698047579854	0.00020601458559646	12	12	0.00167123156725954	0.0271575129679675
ko04612	Group	WT	0.000484693344992179	0.000112477668542208	12	12	0.00153891484043919	0.0271575129679675
ko04621	Group	WT	0.000476230395438061	0.000113211580827767	12	12	0.00180978889870229	0.0275108558834662
ko00944	Group	WT	-0.00137781125968466	0.000330062277461811	12	12	0.0019045977150092	0.0275108558834662
ko05143	Group	WT	-0.00129522620365267	0.000323538272004916	12	12	0.0025048972490086	0.0342775413022229
ko00906	Group	WT	0.00126210203156227	0.000318775628026434	12	12	0.00268984927729262	0.034968040604804
ko00364	Group	WT	-0.000911570619023197	0.000238480761608979	12	12	0.00336030690588408	0.03971271797863
ko00908	Group	WT	0.000310088262991548	8.06811616869064e-05	12	12	0.00324712360485181	0.03971271797863
ko04712	Group	WT	0.000235751162943427	6.42714476919884e-05	12	9	0.00433102355541687	0.0450069342204716
ko00523	Group	WT	0.000852154154572324	0.000233109634887451	12	12	0.0044211894123118	0.0450069342204716
ko05150	Group	WT	-0.000680431132756155	0.000186684210054581	12	12	0.00450069342204716	0.0450069342204716
ko03430	Group	WT	0.00062028749301922	0.00016988626173294	12	12	0.00445350131322675	0.0450069342204716
ko05142	Group	WT	-0.00106403447529383	0.000298104975500048	12	12	0.00510144249011216	0.0491250017566357
ko03030	Group	WT	0.000881770137091215	0.000249724659091519	12	12	0.00543801077541272	0.0498913617326591
ko00643	Group	WT	-0.000539058288007547	0.00015371972043245	12	12	0.00566220036255925	0.0498913617326591
ko00230	Group	WT	0.000799476530017397	0.000228627434479464	12	12	0.00575669558453759	0.0498913617326591
ko03440	Group	WT	0.00108463142631244	0.000316157527233233	12	12	0.00643127837020413	0.0522541367579085
ko04622	Group	WT	-0.00114566855285687	0.00033254467911167	12	12	0.0062769187104335	0.0522541367579085
ko03010	Group	WT	0.0022012967549684	0.00065044105454256	12	12	0.00695198463108985	0.0542946639348267
ko04112	Group	WT	-0.00197994459234455	0.000587209715355672	12	12	0.00710007143763118	0.0542946639348267
ko00860	Group	WT	0.00117305689741543	0.000352696927487768	12	12	0.00766991343128977	0.0569764997752954
ko00400	Group	WT	0.000935243658831967	0.000286568631758785	12	12	0.00852215399238773	0.0598854064329949
ko00901	Group	WT	0.000848376020843781	0.000258773813159636	12	12	0.008310748433273	0.0598854064329949
ko00630	Group	WT	-0.0018404919000009	0.000569188549597244	12	12	0.00896706156700991	0.0613535791426994
ko05211	Group	WT	0.000245596054594014	7.70707295932723e-05	12	12	0.00970950030748696	0.0647300020499131
ko05340	Group	WT	0.00104770627619831	0.00033139951124607	12	12	0.0101336316627278	0.0658686058077305
ko00250	Group	WT	0.00113204872725864	0.000366680866725304	12	12	0.0114970134498472	0.0729078901697626
ko04960	Group	WT	0.000346651559456571	0.000113449882961824	12	12	0.0121362960834532	0.0736721416521886
ko00624	Group	WT	0.00131812017809008	0.000433389885064338	12	12	0.0124324352368172	0.0736721416521886
ko00240	Group	WT	0.00113350653521912	0.000372892907375077	12	12	0.0124675932026781	0.0736721416521886
ko02060	Group	WT	-0.00162972373758318	0.00054596381131695	12	12	0.0136892325071419	0.0773739228664542
ko00970	Group	WT	0.00137098537965643	0.000458050718390297	12	12	0.0135022427059523	0.0773739228664542
ko04122	Group	WT	0.00106678990747413	0.000360235655143641	12	12	0.0142547527362153	0.0788560789662973
ko03060	Group	WT	0.00106586642537799	0.000362419346204297	12	12	0.0147608530849084	0.0799242385008953
ko00100	Group	WT	0.00286412131336588	0.000977799232155192	12	12	0.0150626449482457	0.0799242385008953
ko00909	Group	WT	0.00146223349501337	0.000503039681502427	12	12	0.015650379167461	0.0813819716707974
ko03013	Group	WT	0.00118686091256284	0.000411831299657505	12	12	0.0163319743107604	0.0832610455058375
ko05410	Group	WT	-0.000715175085752128	0.000249192383757854	12	12	0.0166695481353939	0.0833477406769697
ko05219	Group	WT	-0.000313359815728976	0.000110381319682839	12	12	0.0175819935264111	0.0848472869870269
ko00965	Group	WT	0.000751298769649038	0.000264769791557761	12	12	0.0176221288357671	0.0848472869870269
ko05222	Group	WT	-0.00180510580389747	0.000674866618633608	12	12	0.023301401032339	0.0952284518400792
ko05416	Group	WT	-0.0018002158483646	0.000676099507470935	12	12	0.0237908514903931	0.0952284518400792
ko05210	Group	WT	-0.00179985242037953	0.000676064086874304	12	12	0.0238071129600198	0.0952284518400792
ko04115	Group	WT	-0.00179943349237005	0.000675810381529886	12	12	0.0237916077566645	0.0952284518400792
ko00361	Group	WT	-0.000805638321541647	0.000300800129130815	12	12	0.0231595046122615	0.0952284518400792
ko00281	Group	WT	0.000959840933253787	0.000349248874606123	12	12	0.0205380566045797	0.0952284518400792
ko05145	Group	WT	-0.00180199077441981	0.000675539818165961	12	12	0.0235942803440542	0.0952284518400792
ko00053	Group	WT	-0.00117105308974906	0.000435173766982394	12	12	0.0226607232908038	0.0952284518400792
ko00030	Group	WT	0.00122507793037003	0.000459995782953013	12	12	0.0237668488064811	0.0952284518400792
ko04080	Group	WT	0.000465786430246052	0.000172359097382141	12	12	0.0222209187912624	0.0952284518400792
ko00900	Group	WT	0.00138669678242685	0.000509862282601408	12	12	0.0215696661447317	0.0952284518400792
ko01055	Group	WT	0.000751662857737717	0.000283456392025405	12	12	0.024239052012362	0.0954871745941535
ko00312	Group	WT	-0.000577952603891036	0.000218835919190086	12	12	0.0246902110050177	0.0958127591239492
ko02030	Group	WT	-0.00662413289439391	0.00252901030606088	12	12	0.0256302934831456	0.0979981809649685
ko00121	Group	WT	-0.00067727590357817	0.000259530526978081	12	12	0.0260578049207484	0.0981888301361533
ko05014	Group	WT	-0.00150884315489561	0.000583921812046469	12	12	0.0272296776530408	0.101138802711294
ko01056	Group	WT	0.00229988339268283	0.000895847973976645	12	12	0.0280215892603734	0.102614270530945
ko00040	Group	WT	-0.00109259343516967	0.000428427055113084	12	12	0.0288518917703409	0.104187386948453
ko00623	Group	WT	0.000506746143754154	0.000204216182219273	12	12	0.0324637754807496	0.114978413045591
ko04910	Group	WT	0.000411376077286283	0.00016609532926741	12	12	0.0327246252514376	0.114978413045591
ko04210	Group	WT	-0.00173365101358883	0.000707083111346691	12	12	0.0341503826533863	0.118387993198406
ko00625	Group	WT	-0.000729230128909376	0.000300477100280646	12	12	0.0356381776132495	0.120336703629154
ko04972	Group	WT	0.000445007858127012	0.000183228943290405	12	12	0.035529190072282	0.120336703629154
ko02040	Group	WT	-0.007276103682346	0.00304276991946037	12	12	0.0378759410677537	0.126253136892512
ko00620	Group	WT	0.000493995099205539	0.000208270397996509	12	12	0.0391505313244497	0.128849849928569
ko00680	Group	WT	0.000417127526458092	0.000187059283035409	12	12	0.0498491011247723	0.140253651207409
ko04973	Group	WT	-0.000491308056739505	0.000212956824724777	12	12	0.043724353135894	0.140253651207409
ko00591	Group	WT	-0.000443479746102342	0.000192855940613458	12	12	0.0442890491694473	0.140253651207409
ko05322	Group	WT	-0.000425345678975176	0.000191032935776254	12	12	0.0501342858083424	0.140253651207409
ko02020	Group	WT	-0.0055936701001655	0.00249327570393902	12	12	0.0487138915166168	0.140253651207409
ko00290	Group	WT	0.000962676699583205	0.000428174329742782	12	12	0.0483165106586124	0.140253651207409
ko05012	Group	WT	-0.00239208785839942	0.00106630715281948	12	12	0.0487274463216412	0.140253651207409
ko03320	Group	WT	0.00162702740538535	0.000728426541187256	12	12	0.0495375222307981	0.140253651207409
ko03020	Group	WT	0.000626542822077813	0.00027449561222975	12	12	0.045589650502301	0.140253651207409
ko00982	Group	WT	-0.00224124383097783	0.000998776109470085	12	12	0.048673585604116	0.140253651207409
ko04011	Group	WT	-0.0014827933289513	0.000650371354602943	12	12	0.0457921010357972	0.140253651207409
ko04113	Group	WT	-0.00068413852120299	0.00030445769262218	12	12	0.0484196452970636	0.140253651207409
ko04920	Group	WT	0.00127585957702883	0.0005731201273505	12	12	0.0501676521626501	0.140253651207409
ko04075	Group	WT	0.000282450032743775	0.000126566397684849	12	12	0.0497044588140567	0.140253651207409
ko00513	Group	WT	-0.000196505161309661	8.85856703101321e-05	12	12	0.0508451013451307	0.140635386699298
ko04146	Group	WT	0.00108124862272799	0.000490624004323738	12	12	0.0521027688447127	0.142597051575003
ko00590	Group	WT	-0.000578130819463504	0.000264284023643477	12	12	0.0535586758084723	0.145054746981279
ko00980	Group	WT	-0.0024162864587888	0.00110879563260613	12	12	0.0543189766968752	0.145597257125645
ko00521	Group	WT	0.00112513764329733	0.000522538220659625	12	12	0.0567556762795018	0.149055311441116
ko00340	Group	WT	0.000273338840115748	0.000126791526807146	12	12	0.0565074714582086	0.149055311441116
